#,Title,Libretto,"# Acts, Language",First performance,Remarks,Year,Language
25,Un ballo in maschera,Antonio Somma,"3 acts, Italian","Teatro Apollo, Rome,17 February 1859","Final title of an opera which began as Gustavo III for Naples in 1857, became Un vendetta in domino in 1858, and finally Un ballo in maschera in an American setting with Colonial-era characters in 1859",1859,Italian
26,La forza del destino,Francesco Maria Piave,"4 acts, Italian","Bolshoi Kamenny Theatre, Saint Petersburg,10 November 1862",,1862,Italian
27,Macbeth,Francesco Maria Piave,"4 acts, Italian","Théâtre Lyrique, Paris,21 April 1865","Revised version, with additions including Lady Macbeth's aria La luce langue and removal of Macbeth's final aria followed by his death off stage",1865,Italian
28,Don Carlos,"Camille du Locle, Joseph Méry","5 acts, French","Paris Opéra (Salle Le Peletier),11 March 1867",,1867,French
29,La forza del destino,Francesco Maria Piave,"4 acts, Italian","Teatro alla Scala, Milan,27 February 1869","Revised version, with text addition by Antonio Ghislanzoni",1869,Italian
30,Aida,Antonio Ghislanzoni,"4 acts, Italian","Khedivial Opera House, Cairo,24 December 1871",,1871,Italian
31,Don Carlo,"Camille du Locle, Joseph Méry; Achille de Lauzières (Italian trans.)","5 acts, Italian","Teatro San Carlo, Naples,November/December 1872[4]","First revision of the translation (additions by Antonio Ghislanzoni).  However, the first performance in Italian was at the Royal Italian Opera House in London, 4 June 1867 (severely cut). First official performance in Italian took place at the Teatro Comunale, Bologna on 27 October 1867 and was very successful.",1872,Italian
32,Simon Boccanegra,Francesco Maria Piave,"3 acts, Italian","Teatro alla Scala, Milan,24 March 1881","Revised and expanded version, with text changes by Arrigo Boito and the notable addition of the Act 1 Council Chamber finale",1881,Italian
33,La force du destin,Francesco Maria Piave,"4 acts, French","Antwerp,14 March 1881",Revised version of La forza del destino translated into French by Charles Nuitter and Camille du Locle[5],1881,French
34,Don Carlo,"Camille du Locle, Joseph Méry","4 acts, French","Teatro alla Scala, Milan,10 January 1884",Second revision of Don Carlos with Camille du Locle and Charles Nuitter. Omitted Act 1 and the ballet.,1884,French
35,Don Carlo,"Camille du Locle, Joseph Méry","5 acts, Italian","Teatro Municipale, Modena,29 December 1886","Third revision of Don Carlos with Angelo Zanardini. Restored Act 1, Fontainebleau scene",1886,Italian
36,Otello,Arrigo Boito,"4 acts, Italian","Teatro alla Scala, Milan,5 February 1887",,1887,Italian
37,Falstaff,Arrigo Boito,"3 acts, Italian","Teatro alla Scala, Milan,9 February 1893",,1893,Italian
